,Year,State_pair,M_ij_mean,M_ij_sd,path_ind,M_ij,P_i,P_j,H_i,H_j,I_i,I_j,AF_i,AF_j,D_ij,A_i,A_j,rho_i,rho_j,SP_ij,SH_ij,SI_ij,SA_ij,SAF_ij,Srho_ij,ADC_i,ADC_j,pred_gravity,pred_radiation,pred_xgb
30600,2017,Alabama - Alaska,1253.0,590.9340406182396,4.5,1387.1,4877989.0,740983.0,297.42,317.21,50865.0,77987.0,0.005847242701268,0.0040674727839255,4589.232235384378,135775.57,1700140.75,35.92685340963768,0.43583626826190713,318077393.0,18500.31,2934930.0,7943799.359999998,0.006303492757919199,40.040965108162055,1500.0,0.0,111.07335576347967,126.58082440296506,297.53647
30601,2017,Alabama - Arizona,1005.0,818.3098957532412,4.5,1088.3,4877989.0,3003855.0,297.42,357.05,50865.0,49751.0,0.005847242701268,0.0071767401660268,2404.9740243994665,135775.57,295275.54,35.92685340963768,10.173057341627418,256102617.0,15025.809999999998,2430273.0,5681452.489999998,0.0061827662982718,45.0769618245985,1500.0,52.5,388.71785495599784,299.1820333270392,723.8305
30602,2017,Alabama - Arkansas,1580.0,821.3496799128001,4.5,1790.2,4877989.0,7048088.0,297.42,268.48,50865.0,59700.0,0.005847242701268,0.0044971524288107,619.7338977088193,135775.57,137741.38,35.92685340963768,51.16899511243462,53921025.0,1944.4299999999998,321009.0,776039.1100000001,0.0060572445009329,69.4823550838823,1500.0,750.0,2039.4245698261711,1675.9004223069803,590.23865
30603,2017,Alabama - California,4643.0,768.4574355364762,4.5,4535.7,4877989.0,39337785.0,297.42,579.44,50865.0,70038.0,0.005847242701268,0.0082732231074559,3240.058695600276,135775.57,424001.13,35.92685340963768,92.77754755040394,267164363.0,16880.909999999996,2730854.0,7080303.719999997,0.0061815498009047,37.73346081825994,1500.0,35000.0,963.1597504117485,928.5380150328986,3190.6023
30604,2017,Alabama - Colorado,981.0,911.3272910357421,4.5,925.8,4877989.0,5617421.0,297.42,488.66,50865.0,74984.0,0.005847242701268,0.0065168569294782,1865.9855306555269,135775.57,269619.0,35.92685340963768,20.83466298740074,223447793.0,13386.359999999995,2157967.0,4883709.18,0.0062032273894827,45.75370579293995,1500.0,3500.0,657.4645521781457,453.0535814740162,1522.6434
30605,2017,Alabama - Connecticut,514.0,151.98920797794227,4.5,573.0,4877989.0,3575324.0,297.42,385.69,50865.0,74304.0,0.005847242701268,0.0051907030577088,1593.4318416330757,135775.57,14358.959999999997,35.92685340963768,248.99602756745617,197330284.0,10236.36,1706398.0,4274220.0200000005,0.005998811531659,46.16755409797551,1500.0,0.0,618.637368819945,409.462586655534,193.62724
30606,2017,Alabama - Delaware,0.0,136.79028718014806,4.5,52.9,4877989.0,697079.0,297.42,435.4,50865.0,81282.0,0.005847242701268,0.0053566595310154,1228.5250176414695,135775.57,5060.86,35.92685340963768,137.73923799512335,177344925.0,8031.010000000002,1384363.0,3679939.34,0.005801231324443,48.19235009455346,1500.0,0.0,371.09264961627366,207.7624878082065,47.908268
30607,2017,Alabama - District of Columbia,0.0,299.11476130059043,4.5,146.9,4877989.0,957942.0,297.42,803.19,50865.0,64961.0,0.005847242701268,0.0123641877434152,1106.782144178806,135775.57,176.12,35.92685340963768,5439.1437656143535,107904699.0,4921.33,896903.0,2053406.39,0.0054870259102712,52.54912009892013,1500.0,0.0,473.670762787046,374.39761597855266,210.83353
30608,2017,Alabama - Florida,18536.0,2075.56462414678,4.5,18394.6,4877989.0,20977089.0,297.42,399.71,50865.0,53086.0,0.005847242701268,0.0075294804656594,285.2051045635001,135775.57,170313.22,35.92685340963768,123.16770829651391,10417031.0,323.43,57985.0,153952.19,0.0055778218504785,67.66406505811966,1500.0,35000.0,6935.386264681437,6912.948162904945,13214.293
30609,2017,Alabama - Georgia,26244.0,1781.9214743333953,4.5,24809.0,4877989.0,10417031.0,297.42,323.43,50865.0,57985.0,0.005847242701268,0.0055778218504785,234.8834944982349,135775.57,153952.19,35.92685340963768,67.66406505811966,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,3500.0,6018.27324013062,12434.135391354597,9768.869
30610,2017,Alabama - Hawaii,988.0,932.605780152654,4.5,1153.8,4877989.0,1425763.0,297.42,582.76,50865.0,73599.0,0.005847242701268,0.007918042364706,7079.380140240532,135775.57,28313.879999999997,35.92685340963768,50.35562063553282,318818376.0,18817.52,3012917.0,9643940.109999996,0.0062456151297895,33.058933627077465,1500.0,0.0,100.11496965741699,172.60978413033948,583.1884
30611,2017,Alabama - Idaho,37.0,57.1479421997063,4.5,52.5,4877989.0,3143734.0,297.42,348.27,50865.0,63467.0,0.005847242701268,0.0054874186585154,2887.1236968843737,135775.57,216456.66,35.92685340963768,14.5236187234895,263263874.0,16215.459999999995,2607220.0,6577478.5299999975,0.0062194444657527,40.025044977227786,1500.0,175.0,334.6547644519738,298.2353402323833,157.56424
30612,2017,Alabama - Illinois,2345.0,553.8486738716217,4.5,2392.7,4877989.0,1719745.0,297.42,327.26,50865.0,59497.0,0.005847242701268,0.0055004454006084,878.9279674051029,135775.57,150007.62,35.92685340963768,11.464384275945449,89960514.0,3665.180000000001,661154.0,1495473.7699999998,0.0055436101120162,60.15519349429981,1500.0,1500.0,769.121033021966,577.2596028724191,1298.8955
