,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Georgia,234.883494498235,4571.318309673068,2556.3315712540375,737.7274532228961,3348.3183477312755,1946.1471932270354,1358.901145927064,993.6836346677577,872.0337636263368,368.02115908638797,0.0,7226.73930661136,2950.992783049511,817.0123017766635,688.5969841147569,1189.4620882784654,1168.0996078407863,495.2338813715359,733.9235502427256,1719.9105801085216,913.1034193759626,1499.8916810468784,997.9023633341882,1449.9823669457774,565.2748868857301,880.6706487682961,2726.2791246436173,1337.9438871008856,3198.241047037005,1531.4309777024332,1116.0837989124957,1979.3466786305446,1353.73147154872,570.8995920688527,2153.017919894986,700.6195167624408,1217.0359377140312,3507.884668891821,983.6506809929791,1447.1690805569644,310.84996423704206,1807.1456158669537,345.0935057919359,1317.0060000300628,2543.073901751771,1548.3028927756654,753.8103773484712,3533.8795739967222,567.2393695860944,1122.881503409622,1973.7781377642182
Hawaii,7079.380140240531,4522.78462545189,4674.4608537096265,6489.1007953122835,3957.276522327125,5372.442594519085,8060.887969480765,7890.032945451891,7768.345525350731,7305.232604466381,7226.73930661136,0.0,4554.670540574022,6681.355943451615,6979.473208343459,6339.7499499543865,6166.092040505046,7110.411953368711,6656.688051662443,8222.977840550884,7812.217577580574,8181.002178409702,7080.268928571875,6387.101522010895,6715.298410925361,6470.88069046268,4974.730977537686,6083.358458022431,4119.2914498207465,8113.468478638476,7929.02897813508,5249.576572299571,7950.248648670715,7700.77439332686,5850.350195614084,7243.846568998957,6011.480005908597,4118.1372063858635,7751.887200746049,8160.506431342794,7526.27143763224,5811.313225006925,6970.922487149532,6029.932617010862,4812.090876784845,8007.197141937018,7763.113094172874,4241.706559493248,7386.901160939893,6684.649457226316,5406.066851085696
Idaho,2887.1236968843737,2057.0759995847307,1186.5078829707604,2273.9767123062347,712.814230932851,1028.0032154249425,3525.175783882106,3397.616760198428,3287.075886556952,3165.352156163575,2950.9927830495108,4554.670540574021,0.0,2238.0431004711513,2519.7097181317495,1858.891565440998,1784.2436144393596,2687.5187393150886,2648.43632594895,3669.270076294823,3327.329992148656,3638.4133048416347,2556.1292330758256,1842.0658027206605,2588.8430417089185,2083.498320887495,468.010355011252,1636.9738850905533,575.3649767312274,3565.2190053862296,3417.0228468329656,1244.9575369155073,3408.6611207173314,3302.4713898882387,1319.2602058351881,2766.5545372483566,1834.8246025692602,560.0292367686995,3246.1106120624722,3621.8729997205824,3204.0251841651375,1272.846708690495,2629.714828968603,2204.7176545022753,478.66057733182396,3455.0683213401767,3312.5546663326268,644.6487650395429,2940.939899227942,2162.848307411785,977.6607527297413
Illinois,878.9279674051027,3757.0646052698535,2114.770527520751,609.2289854460241,2731.9492794788675,1309.097475317327,1443.7343180504374,1213.002971832404,1088.1073950248096,1146.5165370569348,817.0123017766632,6681.355943451615,2238.0431004711513,0.0,299.27063510664107,390.4261081118964,525.2976833412661,449.68355612203754,1045.67995803535,1712.7058703514524,1132.7496901874347,1582.9017094896299,537.9921257851582,640.2425873387157,831.3785139344006,256.89814142264373,1957.2961264592207,606.4424658496841,2572.6416922448275,1551.7073122481622,1268.0968316275282,1503.5041051964777,1362.9958405682294,1064.7261228014984,1336.0905246015875,567.6976702793812,842.5444686931797,2781.089729056355,1088.1372535836585,1547.943043035123,999.4077773843567,1017.5139092780034,474.2702236449394,1288.542448851661,1885.1545390049105,1492.8126511351802,1086.4903429516085,2780.1795447223863,709.9964115405023,366.6657961904035,1289.0611386295895
Indiana,826.1973355795684,3956.921366125021,2409.093682364992,784.0508236070822,3028.0826629861394,1607.0321379219367,1154.0536262010887,913.7323806694075,789.1941246019649,1052.2977289697358,688.596984114757,6979.473208343459,2519.7097181317495,299.2706351066411,0.0,660.8462562837827,823.5773216748495,209.10423758701964,1132.232465611325,1440.2964690189858,833.6452964993911,1295.557776543425,353.4861227959864,808.564569703729,907.0662842272045,537.940489528248,2218.0524867251365,899.3939052741014,2868.219759414668,1272.1012925333555,970.7597788984394,1797.9329799383527,1081.131376207906,796.6472067629704,1532.243712448704,269.21026469636985,1110.141016260389,3056.413981287911,790.8776019497204,1258.1699189325625,787.9236892552502,1274.5998234975184,407.02250710844254,1493.3225228766958,2178.971161981108,1224.8086922611258,794.3220962077432,3044.753300450549,421.32999936821506,453.94330756466627,1582.1524950083094
Iowa,1214.8504492088375,3383.319105222827,1856.7188792466327,770.501450109338,2382.9257038759833,979.5220765721908,1735.1778822002343,1553.343952114524,1436.3383674200663,1494.8780563576922,1189.4620882784652,6339.7499499543865,1858.891565440998,390.4261081118965,660.8462562837827,0.0,333.4929345903274,836.4637969870836,1257.6962099760765,1957.8490923761071,1478.4981193051551,1865.4250414332525,758.2444688732446,375.93648731970967,1074.3297431007045,356.9883163296788,1567.211045954611,269.8876872056678,2221.5400284944044,1815.919669827216,1589.4729137148358,1256.527199033581,1636.7258532572937,1449.9047937955168,978.572640786774,911.7851304309166,759.5688439445055,2396.668039838436,1412.1472090437671,1837.8237327983072,1388.7247247505343,627.2439555507641,844.5920005618708,1312.4924225304183,1529.2995819204107,1734.3909480977502,1454.0849142050924,2391.0640770165646,1082.145526211555,385.2803415228893,933.7211021677498
Kansas,1127.3768200525726,3482.6204628963756,1592.403170400026,564.0513343986232,2227.182847914145,802.1212002059892,1966.0132988203181,1736.3701502749363,1609.7383261192801,1412.088667933228,1168.099607840786,6166.0920405050465,1784.2436144393596,525.2976833412662,823.5773216748495,333.4929345903278,0.0,944.7136887427243,1040.4800999242066,2221.255343631716,1654.976122251741,2103.487997516834,1021.7636191098054,691.1907794762997,896.0099506862599,307.7322862832176,1570.564409908613,213.98305330566544,2070.4315775557375,2066.8321852591394,1793.393525217154,981.8082443643161,1880.500311478872,1546.867384576221,1159.9759561364108,1092.6244134279996,427.94080389355815,2340.081513370286,1613.4333716089068,2070.122457869648,1422.2762279683172,706.6669414820859,846.7260023783124,993.4966339366273,1393.2628906146053,1998.9980336544736,1597.0400784463097,2367.9823130908617,1221.1256878252634,693.0395865652091,809.244098982732
Kentucky,661.4857496037383,4163.049097481397,2499.9144739548865,770.405848049112,3169.8013003573424,1744.2692130386715,1110.3315193213373,817.1322800364338,684.9057235759602,862.9568794673676,495.2338813715362,7110.411953368711,2687.5187393150886,449.68355612203754,209.1042375870195,836.4637969870838,944.7136887427243,0.0,1035.1309986642098,1430.9537811916682,731.649057049104,1255.8308642241388,505.1145820872109,1015.0989267972202,813.6015945826105,639.7492391371204,2402.883623059072,1053.3068392884975,3011.8441285759304,1251.5304886345607,898.8571818218463,1892.3290770885544,1059.953239187309,615.0512665635235,1737.4302860958123,253.68118337868327,1166.3208935849893,3230.6688445431637,725.208876344981,1212.0851592288257,579.6262325754351,1460.3718261048632,282.87294460168647,1474.4415303351382,2328.0014589535954,1227.5392477716439,653.7599207568996,3227.4815744969305,282.4407702669873,662.8600040330479,1733.7176028827018
Louisiana,507.48414788701854,4497.231741175351,1999.2723290711895,488.57754729393565,2905.8322840095066,1624.8402867695122,2073.769718609102,1718.9833347929555,1592.3489458264667,658.167477033613,733.9235502427254,6656.688051662443,2648.4363259489496,1045.6799580353504,1132.2324656113249,1257.6962099760763,1040.4800999242066,1035.1309986642093,0.0,2424.788408576225,1635.7093560065966,2217.6248059161853,1485.2455859062543,1620.4336768698201,225.1869322909713,907.4170172654327,2538.366426081253,1254.3477320727447,2771.5835312132494,2238.039163195621,1835.4198015740935,1495.9332566844148,2052.801025164877,1304.2217033897682,2197.368960228537,1288.5128793527656,816.9203450296336,3204.3390554192315,1688.2678371806683,2166.7192993146073,1028.2544937970374,1744.2757049546365,752.4783150475189,634.4358589863535,2189.4027980141736,2237.377916816301,1484.3801108407363,3278.648343005468,1235.8282445791588,1411.5042208184334,1707.7854673205436
Maine,1953.4885207330503,4552.310798179612,3808.758957193498,2199.01761693081,4285.2431003475185,2929.928654314354,369.81075183345865,746.5278166246551,852.6547008741114,1999.1570415806755,1719.9105801085216,8222.977840550884,3669.2700762948225,1712.7058703514524,1440.2964690189858,1957.8490923761071,2221.255343631716,1430.9537811916682,2424.7884085762244,0.0,816.2668122381592,253.69118833444227,1203.0276786436357,1840.79702572373,2216.9815250011934,1967.8577602396024,3266.184869229655,2227.7136254073416,4122.217090497431,188.59317151229214,613.4792390858863,3200.960882008277,373.0077803986949,1212.86318410444,2405.144951086807,1192.3068254182417,2549.008615241498,4137.7594120642625,737.894576630623,308.831795819599,1500.9842043982667,2416.732963947258,1700.5651177319135,2905.3829845865866,3436.0304586031148,223.45835906697974,992.4455264076274,4058.3446073924883,1191.0466776498592,1579.5177422685465,2861.2592912412533
Maryland,1147.9718196892018,4584.313779718525,3228.902792308285,1482.8081049257387,3858.43728498883,2440.0738706910593,448.7766498500411,86.70672034576393,46.908404008485164,1183.1587743746136,913.1034193759629,7812.217577580574,3327.329992148656,1132.749690187435,833.6452964993911,1478.4981193051553,1654.9761222517411,731.6490570491042,1635.7093560065973,816.2668122381592,0.0,587.252620131406,794.9204346779968,1520.6088330603438,1440.2011278669959,1359.07288942559,2992.22950368386,1729.3692770571279,3697.8387653454433,628.4283931398605,204.04213446487353,2619.626289627871,469.4614914667697,402.98146357984535,2217.957351542527,568.5238965077189,1897.7584300289896,3850.287609573352,147.7258269012788,534.1214258415317,685.3907760174143,2060.198750595843,957.8928932430391,2164.7489450460102,3006.6778276766195,672.9507881134477,179.98988096349797,3818.322004207777,450.9047877595914,1171.4695731935249,2409.9984895833754
Massachusetts,1734.6658553708262,4641.538813501426,3695.8807418301917,2025.8170605546525,4228.748468713964,2844.7550300038147,145.9035601158497,510.3989122602329,627.8881706058394,1763.194839798047,1499.8916810468786,8181.002178409702,3638.4133048416347,1582.9017094896299,1295.557776543425,1865.4250414332525,2103.487997516834,1255.8308642241388,2217.624805916186,253.69118833444247,587.2526201314059,0.0,1108.799940240142,1796.7713571276731,2016.3483966301796,1832.3986447253244,3254.8066594762263,2133.0110486110434,4065.9118905737337,117.5110690198018,383.80869518691634,3085.0268181210035,230.82273697863081,973.4059633409012,2412.6433711225227,1033.6487535895506,2403.421537617807,4127.022100437115,535.3559173196492,56.192745161173114,1265.104296952834,2370.824921412735,1513.0144689462102,2724.2505558579574,3374.722441573652,258.1698955064164,757.0508863831825,4062.4607746176193,996.9379683450453,1501.0920198316105,2788.6774045222705
Michigan,1163.3038930310624,3813.972682914639,2605.7866031198314,1115.4710553071122,3124.2883376109858,1736.5591672553344,982.0411773746717,854.6896734235552,761.3410983063665,1365.8813854317923,997.9023633341884,7080.268928571875,2556.1292330758256,537.9921257851582,353.4861227959867,758.2444688732446,1021.7636191098054,505.1145820872111,1485.2455859062543,1203.0276786436357,794.9204346779972,1108.7999402401422,0.0,728.0161864189774,1260.1505982843325,793.0033141706504,2203.534340755509,1027.3454509135695,2961.7646718790784,1057.7169830727457,861.5159385965211,1998.650891678954,879.2224487722668,925.8404997013157,1424.901175199038,334.06737276383103,1377.9910860348666,3067.4052964016882,694.751494787323,1083.4008846936429,1017.9773165885118,1283.3498688798732,755.1429786549315,1815.970386366932,2269.4217621747234,979.8595260185816,833.9399333740486,3027.6083322183304,546.0254959223377,395.799433622543,1680.567237122223
Minnesota,1518.3101041926743,3148.361765208223,2067.2975967177254,1137.5962975577995,2444.547520773496,1134.3626549153578,1683.3557451672132,1582.477470182361,1485.0037603409157,1786.5637724379133,1449.9823669457771,6387.101522010895,1842.0658027206605,640.2425873387161,808.5645697037293,375.9364873197103,691.1907794762997,1015.09892679722,1620.4336768698201,1840.79702572373,1520.6088330603436,1796.7713571276724,728.0161864189778,0.0,1426.342714093054,713.0417866332343,1476.1582718472164,544.9248423550425,2281.5399525358494,1726.3995991380311,1586.4934873553239,1498.7102966311709,1566.7446946396271,1590.1129151204643,724.4647069504249,995.4561869364535,1117.787769108508,2342.6149225489394,1422.5347156512084,1779.807225174469,1594.4629548164,576.2716726455039,1111.9792419013688,1682.6670478965134,1597.626932410708,1622.0172936143895,1541.0878721831577,2299.599800722156,1200.296014801697,362.54731993021323,1039.9196286496017
Mississippi,369.019589827167,4376.797335975389,2041.9824180533294,333.05292183688516,2900.7005917200395,1560.9603541763577,1871.458593761789,1525.005601039972,1395.6381057446372,600.2758437718155,565.2748868857301,6715.298410925361,2588.843041708919,831.3785139344003,907.0662842272045,1074.3297431007038,896.0099506862598,813.6015945826108,225.1869322909713,2216.9815250011934,1440.2011278669959,2016.34839663018,1260.1505982843319,1426.3427140930532,0.0,718.0539252398352,2440.615081540602,1105.9709834692958,2759.3158715452946,2031.4498868377666,1636.639096814434,1497.774006083116,1844.1749709517433,1131.989683569841,2035.2590356808414,1067.2731971485,761.9585795873334,3148.346322420728,1483.4529006844425,1966.690875667846,873.6525527521165,1601.880244352405,530.7525824211699,752.0015160373309,2144.599151001192,2025.1691434008108,1297.3671427777783,3206.830328548559,1025.9602646698445,1198.0421044941208,1625.5783285586572
Missouri,873.3411946933246,3715.904931176666,1872.6722666801445,426.8368134817491,2534.779007743176,1109.853039371023,1691.5938487106553,1442.040913064024,1313.20193462587,1157.238425325333,880.670648768296,6470.88069046268,2083.498320887495,256.8981414226438,537.940489528248,356.9883163296787,307.7322862832175,639.7492391371204,907.4170172654327,1967.8577602396024,1359.07288942559,1832.3986447253244,793.0033141706507,713.0417866332346,718.0539252398352,0.0,1845.613951032509,457.2942615433179,2378.149419923058,1804.7962385927447,1506.6854443326404,1262.0013499357506,1615.0957287152248,1239.1422656093814,1329.7947664977453,805.5751407348652,585.7436997176916,2636.5168363379944,1327.1610186623138,1795.7637835572748,1120.5351986649193,935.0601816115327,547.4563904330328,1054.5496053150823,1700.248071231101,1748.617790547434,1293.33440794202,2655.1145143670738,918.9299087727858,553.3334883399739,1112.7921031255323
