State,Year,Quarter,Value
OR,1975,3,54.18
OR,1975,4,53.27
OR,1976,1,57.21
OR,1976,2,56.97
OR,1976,3,60.08
OR,1976,4,63.58
OR,1977,1,67.14
OR,1977,2,69.01
OR,1977,3,74.04
OR,1977,4,78.16
OR,1978,1,79.93
OR,1978,2,84.61
OR,1978,3,88.16
OR,1978,4,91.95
OR,1979,1,95.79
OR,1979,2,96.12
OR,1979,3,98.38
OR,1979,4,100.13
OR,1980,1,100
OR,1980,2,98.8
OR,1980,3,105.43
OR,1980,4,101.94
OR,1981,1,97.59
OR,1981,2,99.11
OR,1981,3,96.21
OR,1981,4,88.79
OR,1982,1,96.76
OR,1982,2,92.94
OR,1982,3,96.15
OR,1982,4,102.46
OR,1983,1,98.57
OR,1983,2,100.31
OR,1983,3,99.21
OR,1983,4,98.51
OR,1984,1,98.74
OR,1984,2,97.71
OR,1984,3,96.11
OR,1984,4,99.45
OR,1985,1,97.95
OR,1985,2,97.89
OR,1985,3,96.95
OR,1985,4,97.24
OR,1986,1,97.98
OR,1986,2,98.74
OR,1986,3,99.52
OR,1986,4,97.84
OR,1987,1,100
OR,1987,2,100.38
OR,1987,3,99.48
OR,1987,4,98.77
OR,1988,1,100.81
OR,1988,2,101.47
OR,1988,3,105.09
OR,1988,4,105.66
OR,1989,1,107.97
OR,1989,2,110.48
OR,1989,3,113.81
OR,1989,4,116.64
OR,1990,1,120.76
OR,1990,2,126.99
OR,1990,3,131.72
OR,1990,4,134.08
OR,1991,1,136.38
OR,1991,2,139.52
OR,1991,3,141.94
OR,1991,4,144.89
OR,1992,1,147.94
OR,1992,2,149.77
OR,1992,3,153.42
OR,1992,4,156.32
OR,1993,1,158.46
OR,1993,2,161.62
OR,1993,3,165.39
OR,1993,4,168.87
OR,1994,1,173.16
OR,1994,2,179.22
OR,1994,3,183.63
OR,1994,4,186.75
OR,1995,1,190.91
OR,1995,2,195.56
OR,1995,3,200.48
OR,1995,4,203.74
OR,1996,1,207.74
OR,1996,2,210.83
OR,1996,3,214.22
OR,1996,4,217.76
OR,1997,1,221.3
OR,1997,2,223.88
OR,1997,3,228.51
OR,1997,4,231.31
OR,1998,1,234.81
OR,1998,2,236.11
OR,1998,3,238.51
OR,1998,4,240.73
OR,1999,1,241.86
OR,1999,2,243.24
OR,1999,3,244.03
OR,1999,4,244.92
OR,2000,1,247.41
OR,2000,2,249.09
OR,2000,3,251.45
OR,2000,4,254.13
OR,2001,1,261.05
OR,2001,2,263.52
OR,2001,3,265.89
OR,2001,4,268.17
OR,2002,1,271.59
OR,2002,2,273.5
OR,2002,3,278.19
OR,2002,4,280.41
OR,2003,1,283.33
OR,2003,2,285.95
OR,2003,3,289.99
OR,2003,4,297.32
OR,2004,1,301.1
OR,2004,2,310.13
OR,2004,3,323.85
OR,2004,4,331.39
OR,2005,1,341.41
OR,2005,2,359.61
OR,2005,3,379.68
OR,2005,4,396.17
OR,2006,1,410.45
OR,2006,2,427.13
OR,2006,3,438.31
OR,2006,4,446.57
OR,2007,1,451.64
OR,2007,2,456.77
OR,2007,3,454.52
OR,2007,4,456.11
OR,2008,1,453.45
OR,2008,2,445.35
OR,2008,3,430.84
OR,2008,4,424.59
OR,2009,1,422.06
OR,2009,2,405.8
OR,2009,3,391.77
OR,2009,4,384.67
OR,2010,1,377.77
OR,2010,2,372.3
OR,2010,3,372.44
OR,2010,4,366.87
OR,2011,1,351.54
OR,2011,2,341.29
OR,2011,3,344.37
OR,2011,4,347.78
OR,2012,1,341.65
OR,2012,2,338.13
OR,2012,3,345.49
OR,2012,4,351.12
OR,2013,1,353.74
OR,2013,2,363.55
OR,2013,3,373.72
OR,2013,4,378.33
OR,2014,1,383.82
OR,2014,2,396.4
OR,2014,3,403.24
OR,2014,4,407.43
OR,2015,1,413.92
OR,2015,2,428.08
OR,2015,3,441.46
OR,2015,4,448.54
OR,2016,1,458.32
OR,2016,2,474.98
OR,2016,3,489.34
OR,2016,4,497.02
OR,2017,1,502.48
OR,2017,2,518.18
OR,2017,3,527.37
OR,2017,4,530.55
OR,2018,1,538.06
OR,2018,2,551.46
OR,2018,3,557.47
OR,2018,4,558.67
OR,2019,1,565.03
OR,2019,2,574.4
OR,2019,3,581.27
OR,2019,4,586.76
OR,2020,1,592.46
OR,2020,2,600
OR,2020,3,610.33
OR,2020,4,626.94
OR,2021,1,647.93
OR,2021,2,691.15
OR,2021,3,733.55
OR,2021,4,753.34
OR,2022,1,778.02
OR,2022,2,823.82
OR,2022,3,818.59
PA,1975,1,70.76
PA,1975,2,69.6
PA,1975,3,74.1
PA,1975,4,71.84
PA,1976,1,72.71
PA,1976,2,76.71
PA,1976,3,77.36
PA,1976,4,75.12
PA,1977,1,74.66
PA,1977,2,80.24
PA,1977,3,80.89
PA,1977,4,83.46
PA,1978,1,84.06
PA,1978,2,87.58
PA,1978,3,86.47
PA,1978,4,87.77
PA,1979,1,92.55
PA,1979,2,97.04
PA,1979,3,96.37
PA,1979,4,98.84
PA,1980,1,100
PA,1980,2,96.23
PA,1980,3,101.55
PA,1980,4,101.61
PA,1981,1,101.78
PA,1981,2,103.95
PA,1981,3,104.43
PA,1981,4,101.48
PA,1982,1,103.71
PA,1982,2,104.01
PA,1982,3,104.47
PA,1982,4,105.28
PA,1983,1,108.72
PA,1983,2,110.46
PA,1983,3,112.92
PA,1983,4,113.78
PA,1984,1,113.73
PA,1984,2,116.87
PA,1984,3,118.69
PA,1984,4,119.58
PA,1985,1,121.13
PA,1985,2,124.25
PA,1985,3,126.72
PA,1985,4,128.42
PA,1986,1,131.44
PA,1986,2,135.13
PA,1986,3,139.74
PA,1986,4,144.35
PA,1987,1,149.16
PA,1987,2,155.18
PA,1987,3,162.8
PA,1987,4,168.4
PA,1988,1,171.73
PA,1988,2,178.97
PA,1988,3,183.72
PA,1988,4,185.42
PA,1989,1,187.69
PA,1989,2,189.03
PA,1989,3,193.19
PA,1989,4,195.55
PA,1990,1,195.86
PA,1990,2,196.16
PA,1990,3,196.7
PA,1990,4,195.97
PA,1991,1,197.55
PA,1991,2,199.12
PA,1991,3,199.26
PA,1991,4,202.84
PA,1992,1,203.91
PA,1992,2,203.55
PA,1992,3,205.48
PA,1992,4,206.8
PA,1993,1,206.47
PA,1993,2,207.92
PA,1993,3,208.66
PA,1993,4,210.53
PA,1994,1,210.45
PA,1994,2,209.27
PA,1994,3,207.61
PA,1994,4,206.01
PA,1995,1,205.39
PA,1995,2,208.81
PA,1995,3,212.43
PA,1995,4,213.61
PA,1996,1,216.33
PA,1996,2,213.81
PA,1996,3,213.03
PA,1996,4,214.44
PA,1997,1,215.81
PA,1997,2,215.66
PA,1997,3,217.79
PA,1997,4,220.04
PA,1998,1,223.56
PA,1998,2,224.02
PA,1998,3,224.87
PA,1998,4,227.88
PA,1999,1,229.43
PA,1999,2,230.08
PA,1999,3,231.07
PA,1999,4,232.15
PA,2000,1,234.46
PA,2000,2,237.91
PA,2000,3,240.39
PA,2000,4,243.26
PA,2001,1,249.54
PA,2001,2,253.52
PA,2001,3,256.91
PA,2001,4,260.17
PA,2002,1,264.17
PA,2002,2,268.79
PA,2002,3,274.34
PA,2002,4,279.1
PA,2003,1,282.29
PA,2003,2,285.96
PA,2003,3,291.89
PA,2003,4,300.52
PA,2004,1,305.78
PA,2004,2,313.8
PA,2004,3,326.71
PA,2004,4,334.02
PA,2005,1,340.95
PA,2005,2,352.63
PA,2005,3,364.23
PA,2005,4,371.78
PA,2006,1,378.46
PA,2006,2,382.68
PA,2006,3,387.05
PA,2006,4,391.6
PA,2007,1,395.04
PA,2007,2,396.67
PA,2007,3,394.88
PA,2007,4,396.59
PA,2008,1,399.39
PA,2008,2,394.4
PA,2008,3,387.64
PA,2008,4,387.12
PA,2009,1,391.02
PA,2009,2,385.22
PA,2009,3,377.95
PA,2009,4,376.63
PA,2010,1,374.15
PA,2010,2,372.19
PA,2010,3,376.67
PA,2010,4,375.73
PA,2011,1,369.89
PA,2011,2,364.76
PA,2011,3,365.3
PA,2011,4,366.71
PA,2012,1,363.68
PA,2012,2,361.97
PA,2012,3,363.94
PA,2012,4,364.94
PA,2013,1,365.12
PA,2013,2,366.33
PA,2013,3,367.88
PA,2013,4,367.09
PA,2014,1,367.12
PA,2014,2,371.81
PA,2014,3,374.47
PA,2014,4,375.24
PA,2015,1,379.33
PA,2015,2,381.73
PA,2015,3,383.48
PA,2015,4,383.93
PA,2016,1,385.64
PA,2016,2,391.62
PA,2016,3,395.76
PA,2016,4,396.71
PA,2017,1,397.51
PA,2017,2,404.73
PA,2017,3,409.78
PA,2017,4,410.87
PA,2018,1,415.52
PA,2018,2,421.14
PA,2018,3,425.31
PA,2018,4,425.34
PA,2019,1,430.05
PA,2019,2,438.25
PA,2019,3,444.08
PA,2019,4,447.03
PA,2020,1,452.76
PA,2020,2,456.62
PA,2020,3,466
PA,2020,4,474.24
PA,2021,1,485.82
PA,2021,2,507.39
PA,2021,3,531.99
PA,2021,4,543.78
PA,2022,1,559.2
PA,2022,2,590.03
PA,2022,3,600.13
RI,1975,1,61.37
RI,1975,2,65.96
RI,1975,3,64.67
RI,1975,4,66.92
RI,1976,1,66.11
RI,1976,2,68.78
RI,1976,3,70.3
RI,1976,4,69.52
RI,1977,1,69.25
RI,1977,2,72.28
RI,1977,3,75.06
RI,1977,4,77.03
RI,1978,1,80.21
RI,1978,2,82.01
RI,1978,3,84.59
RI,1978,4,87.02
RI,1979,1,90.2
RI,1979,2,92.41
RI,1979,3,92.94
RI,1979,4,100.24
RI,1980,1,100
RI,1980,2,102.53
RI,1980,3,101.74
RI,1980,4,97.91
RI,1981,1,94.46
RI,1981,2,105.75
RI,1981,3,103.25
RI,1981,4,101.19
RI,1982,1,105.22
RI,1982,2,102.92
RI,1982,3,102.52
RI,1982,4,108.08
RI,1983,1,109.21
RI,1983,2,111.03
RI,1983,3,118.66
RI,1983,4,120.37
RI,1984,1,118.88
RI,1984,2,120.47
RI,1984,3,126.53
RI,1984,4,128.11
RI,1985,1,130.87
RI,1985,2,137.22
RI,1985,3,141.55
RI,1985,4,150.1
RI,1986,1,154.28
RI,1986,2,161.94
RI,1986,3,173.04
RI,1986,4,189.23
RI,1987,1,202.7
RI,1987,2,214.42
RI,1987,3,230.28
RI,1987,4,240.09
RI,1988,1,248.16
RI,1988,2,251.54
RI,1988,3,254.1
RI,1988,4,256.03
RI,1989,1,258.19
RI,1989,2,259.36
RI,1989,3,265.19
RI,1989,4,266.36
RI,1990,1,263.39
RI,1990,2,258.96
RI,1990,3,259.4
RI,1990,4,253.96
RI,1991,1,254.58
RI,1991,2,249.21
RI,1991,3,246.33
RI,1991,4,249.29
RI,1992,1,248.01
RI,1992,2,244.59
RI,1992,3,244.74
RI,1992,4,245.69
RI,1993,1,244.36
RI,1993,2,244.56
RI,1993,3,243.87
RI,1993,4,246.18
RI,1994,1,244.8
RI,1994,2,238.6
RI,1994,3,234.14
RI,1994,4,231.45
RI,1995,1,233.37
RI,1995,2,235.89
RI,1995,3,240.07
RI,1995,4,242.14
RI,1996,1,244.77
RI,1996,2,239.77
RI,1996,3,236.22
RI,1996,4,237.93
RI,1997,1,239.41
RI,1997,2,237.66
RI,1997,3,242.87
RI,1997,4,245.58
RI,1998,1,249.69
RI,1998,2,248.49
RI,1998,3,250.86
RI,1998,4,253.77
RI,1999,1,255.78
RI,1999,2,258.16
RI,1999,3,263.68
RI,1999,4,268.31
RI,2000,1,276.87
RI,2000,2,285.26
RI,2000,3,294.26
RI,2000,4,299.73
RI,2001,1,305.67
RI,2001,2,316.15
RI,2001,3,328.34
RI,2001,4,335.3
RI,2002,1,348.21
RI,2002,2,365.32
RI,2002,3,379.26
RI,2002,4,391.17
RI,2003,1,402.75
RI,2003,2,412.31
RI,2003,3,429.53
RI,2003,4,457.67
RI,2004,1,468.53
RI,2004,2,489.75
RI,2004,3,524.17
RI,2004,4,537.56
RI,2005,1,548.65
RI,2005,2,570.96
RI,2005,3,583.76
RI,2005,4,592.74
RI,2006,1,598.18
RI,2006,2,598.16
RI,2006,3,596.58
RI,2006,4,596.2
RI,2007,1,595.97
RI,2007,2,584.93
RI,2007,3,573.91
RI,2007,4,571.39
RI,2008,1,565.26
RI,2008,2,542.73
RI,2008,3,517.78
RI,2008,4,511.72
RI,2009,1,514.82
RI,2009,2,491.78
RI,2009,3,479.35
RI,2009,4,479.65
RI,2010,1,471.9
RI,2010,2,465.07
RI,2010,3,472.36
RI,2010,4,471.32
RI,2011,1,459.84
RI,2011,2,444.35
RI,2011,3,445.22
RI,2011,4,448.18
RI,2012,1,441.3
RI,2012,2,433.34
RI,2012,3,435.04
RI,2012,4,437.42
RI,2013,1,435.11
RI,2013,2,435.77
RI,2013,3,436.23
RI,2013,4,433.79
RI,2014,1,435.96
RI,2014,2,443.32
RI,2014,3,451.02
RI,2014,4,454.04
RI,2015,1,458.42
RI,2015,2,467.43
RI,2015,3,469.69
RI,2015,4,472.83
RI,2016,1,474.32
RI,2016,2,484.16
RI,2016,3,492.82
RI,2016,4,500.66
RI,2017,1,503.36
RI,2017,2,512.46
RI,2017,3,522.61
RI,2017,4,529.19
RI,2018,1,539.45
RI,2018,2,546.53
RI,2018,3,553.63
RI,2018,4,555.29
RI,2019,1,560.52
RI,2019,2,570.91
RI,2019,3,577.64
RI,2019,4,584.98
RI,2020,1,590.08
RI,2020,2,597.51
RI,2020,3,609.26
RI,2020,4,627.46
RI,2021,1,644.59
RI,2021,2,683.57
RI,2021,3,727.8
RI,2021,4,748.48
RI,2022,1,769.21
RI,2022,2,830.43
RI,2022,3,838.45
SC,1975,1,75.25
SC,1975,2,69.72
SC,1975,3,72.14
SC,1975,4,69.95
SC,1976,1,70.99
SC,1976,2,77.09
SC,1976,3,76.67
SC,1976,4,75.59
SC,1977,1,75.83
SC,1977,2,79.05
SC,1977,3,81.29
SC,1977,4,82.78
SC,1978,1,82.29
SC,1978,2,86.77
SC,1978,3,88.21
SC,1978,4,89.64
SC,1979,1,93.82
SC,1979,2,95.74
SC,1979,3,97.64
SC,1979,4,100.27
SC,1980,1,100
SC,1980,2,103.85
SC,1980,3,109.14
SC,1980,4,106.13
SC,1981,1,113.45
SC,1981,2,115.8
SC,1981,3,117.8
SC,1981,4,115.76
SC,1982,1,119.38
SC,1982,2,118.77
SC,1982,3,120.36
SC,1982,4,119.85
SC,1983,1,124.03
SC,1983,2,121.48
SC,1983,3,124.55
SC,1983,4,120.79
SC,1984,1,127.48
SC,1984,2,126.03
SC,1984,3,123.84
SC,1984,4,128.15
SC,1985,1,131.05
SC,1985,2,131.27
SC,1985,3,132.12
SC,1985,4,132.52
SC,1986,1,135.76
SC,1986,2,136.79
SC,1986,3,138.68
SC,1986,4,140.79
SC,1987,1,143.44
SC,1987,2,144.87
SC,1987,3,144.96
SC,1987,4,145.68
SC,1988,1,148.19
SC,1988,2,150.18
SC,1988,3,151.25
SC,1988,4,151.95
SC,1989,1,154.38
SC,1989,2,154.49
SC,1989,3,157.99
SC,1989,4,158.35
SC,1990,1,159.87
SC,1990,2,161.37
SC,1990,3,162.72
SC,1990,4,161.65
SC,1991,1,163.49
SC,1991,2,165.11
SC,1991,3,166.12
SC,1991,4,168.75
SC,1992,1,169.63
SC,1992,2,169.85
SC,1992,3,172.42
SC,1992,4,173.03
SC,1993,1,173.29
SC,1993,2,174.94
SC,1993,3,177.07
SC,1993,4,177.86
SC,1994,1,178.79
SC,1994,2,180.04
SC,1994,3,180.81
SC,1994,4,181.36
SC,1995,1,182.96
SC,1995,2,185.24
SC,1995,3,187.63
SC,1995,4,189.87
SC,1996,1,192.62
SC,1996,2,193.44
SC,1996,3,194.93
SC,1996,4,197.76
SC,1997,1,199.04
SC,1997,2,201.55
SC,1997,3,204.83
SC,1997,4,207.57
SC,1998,1,210.69
SC,1998,2,212.85
SC,1998,3,215.95
SC,1998,4,218.85
SC,1999,1,221.89
SC,1999,2,224.98
SC,1999,3,227.21
SC,1999,4,229.12
SC,2000,1,231.53
SC,2000,2,234.36
SC,2000,3,237.17
SC,2000,4,240.43
SC,2001,1,246.66
SC,2001,2,249.44
SC,2001,3,251.3
SC,2001,4,254.23
SC,2002,1,255.7
SC,2002,2,257.13
SC,2002,3,261.19
SC,2002,4,263.41
SC,2003,1,264.89
SC,2003,2,267.58
SC,2003,3,269.16
SC,2003,4,271.66
SC,2004,1,274.81
SC,2004,2,277.17
SC,2004,3,282.43
SC,2004,4,287.73
SC,2005,1,292.63
SC,2005,2,297.72
SC,2005,3,305.21
SC,2005,4,311.97
SC,2006,1,316.34
SC,2006,2,321.6
SC,2006,3,326.34
SC,2006,4,334.5
SC,2007,1,336.45
SC,2007,2,338.92
SC,2007,3,338.59
SC,2007,4,343.15
SC,2008,1,345.46
SC,2008,2,343.69
SC,2008,3,337.52
SC,2008,4,338.51
SC,2009,1,342.63
SC,2009,2,338.33
SC,2009,3,328.27
SC,2009,4,324.51
SC,2010,1,320.34
SC,2010,2,315.25
SC,2010,3,319.82
SC,2010,4,317.25
SC,2011,1,308.87
SC,2011,2,301.35
SC,2011,3,303.92
SC,2011,4,307.05
SC,2012,1,301.98
SC,2012,2,300.46
SC,2012,3,302.83
SC,2012,4,303
SC,2013,1,302.45
SC,2013,2,303.36
SC,2013,3,303.83
SC,2013,4,303.21
SC,2014,1,304.29
SC,2014,2,309.35
SC,2014,3,312.98
SC,2014,4,315.36
SC,2015,1,321.12
SC,2015,2,324.55
SC,2015,3,327.63
SC,2015,4,331.43
SC,2016,1,334.31
SC,2016,2,339.87
SC,2016,3,347.87
SC,2016,4,348.53
SC,2017,1,352.49
SC,2017,2,358.91
SC,2017,3,365.7
SC,2017,4,367.69
SC,2018,1,375.65
SC,2018,2,380.47
SC,2018,3,385.72
SC,2018,4,387.14
SC,2019,1,392.55
SC,2019,2,400.72
SC,2019,3,406.15
SC,2019,4,409.92
SC,2020,1,415.93
SC,2020,2,419.11
SC,2020,3,426.4
SC,2020,4,434.72
SC,2021,1,444.99
SC,2021,2,469.63
SC,2021,3,496.34
SC,2021,4,520.01
SC,2022,1,544.63
SC,2022,2,581.74
SC,2022,3,603.49
SD,1975,1,75.06
SD,1975,2,70.29
SD,1975,3,65.08
SD,1975,4,63.86
SD,1976,1,62.9
SD,1976,2,67.61
SD,1976,3,68.74
SD,1976,4,66.63
SD,1977,1,62.81
SD,1977,2,70.54
SD,1977,3,79.07
SD,1977,4,81.5
SD,1978,1,76.04
SD,1978,2,84.2
SD,1978,3,85.82
SD,1978,4,85.62
SD,1979,1,89.41
SD,1979,2,90.67
SD,1979,3,99.16
SD,1979,4,91.06
SD,1980,1,100
SD,1980,2,107.07
SD,1980,3,98.06
SD,1980,4,95.03
SD,1981,1,92.31
SD,1981,2,98.53
SD,1981,3,104.07
SD,1981,4,86.8
SD,1982,1,68.78
SD,1982,2,110.29
SD,1982,3,106.61
SD,1982,4,118.62
SD,1983,1,100.83
SD,1983,2,121.53
SD,1983,3,100.86
SD,1983,4,99.07
SD,1984,1,113.59
SD,1984,2,109.54
SD,1984,3,118.1
SD,1984,4,106.86
SD,1985,1,109.52
SD,1985,2,108.95
SD,1985,3,112.87
SD,1985,4,112.74
SD,1986,1,116.97
SD,1986,2,118.05
SD,1986,3,113.85
SD,1986,4,117.02
SD,1987,1,120.71
SD,1987,2,118.41
SD,1987,3,117.85
SD,1987,4,119.14
SD,1988,1,115.11
SD,1988,2,115.67
SD,1988,3,118.53
SD,1988,4,116.58
SD,1989,1,120.69
SD,1989,2,117.07
SD,1989,3,121.83
SD,1989,4,119.31
SD,1990,1,119.78
SD,1990,2,125.46
SD,1990,3,126.04
SD,1990,4,125.41
SD,1991,1,127.98
SD,1991,2,131.48
SD,1991,3,130.21
SD,1991,4,132.88
SD,1992,1,136.45
SD,1992,2,136.59
SD,1992,3,140.49
SD,1992,4,142.1
SD,1993,1,143.68
SD,1993,2,147.33
SD,1993,3,150.05
SD,1993,4,152.23
SD,1994,1,155.99
SD,1994,2,158.26
SD,1994,3,159.62
SD,1994,4,162.67
SD,1995,1,160.49
SD,1995,2,166.13
SD,1995,3,167.25
SD,1995,4,170.32
SD,1996,1,173.1
SD,1996,2,172.52
SD,1996,3,174.91
SD,1996,4,173.98
SD,1997,1,176.83
SD,1997,2,179.72
SD,1997,3,181.52
SD,1997,4,184.07
SD,1998,1,186.73
SD,1998,2,187.67
SD,1998,3,189.01
SD,1998,4,188.92
SD,1999,1,191.92
SD,1999,2,194.24
SD,1999,3,195.2
SD,1999,4,196.34
SD,2000,1,197.51
SD,2000,2,201.21
SD,2000,3,204.73
SD,2000,4,204.89
SD,2001,1,209.26
SD,2001,2,212.4
SD,2001,3,214.2
SD,2001,4,215.15
SD,2002,1,218.12
SD,2002,2,221.06
SD,2002,3,223.69
SD,2002,4,225.05
SD,2003,1,227
SD,2003,2,228.23
SD,2003,3,232.36
SD,2003,4,237.26
SD,2004,1,237.88
SD,2004,2,242.2
SD,2004,3,247.14
SD,2004,4,250.52
SD,2005,1,253.96
SD,2005,2,260
SD,2005,3,263.99
SD,2005,4,268.21
SD,2006,1,267.99
SD,2006,2,272.52
SD,2006,3,277.14
SD,2006,4,278.01
SD,2007,1,281.07
SD,2007,2,283.79
SD,2007,3,285.88
SD,2007,4,288.15
SD,2008,1,291.28
SD,2008,2,291.78
SD,2008,3,291.41
SD,2008,4,293.41
SD,2009,1,296.09
SD,2009,2,294.89
SD,2009,3,291.55
SD,2009,4,290.39
SD,2010,1,288.51
SD,2010,2,288.17
SD,2010,3,292.78
SD,2010,4,292.95
SD,2011,1,291.23
SD,2011,2,288.74
SD,2011,3,291.71
SD,2011,4,293.37
SD,2012,1,293.33
SD,2012,2,294.97
SD,2012,3,296.48
SD,2012,4,300.21
SD,2013,1,303.18
SD,2013,2,304.38
SD,2013,3,308.58
SD,2013,4,309.91
SD,2014,1,309.44
SD,2014,2,314.63
SD,2014,3,317.27
SD,2014,4,320.19
SD,2015,1,323.2
SD,2015,2,327.32
SD,2015,3,330.71
SD,2015,4,334.41
SD,2016,1,337.23
SD,2016,2,340.23
SD,2016,3,346.86
SD,2016,4,348.9
SD,2017,1,351.92
SD,2017,2,359.49
SD,2017,3,364.52
SD,2017,4,365.62
SD,2018,1,370.47
SD,2018,2,374.43
SD,2018,3,379.42
SD,2018,4,383.41
SD,2019,1,385.7
SD,2019,2,391.4
SD,2019,3,396.27
SD,2019,4,401.23
SD,2020,1,406.48
SD,2020,2,408.24
SD,2020,3,413.74
SD,2020,4,424.25
SD,2021,1,429.73
SD,2021,2,458.79
SD,2021,3,484.56
SD,2021,4,503.06
SD,2022,1,520.23
SD,2022,2,556.09
SD,2022,3,569.3
TN,1975,1,68.05
TN,1975,2,68.75
TN,1975,3,67.71
TN,1975,4,70.91
TN,1976,1,70.31
TN,1976,2,68.56
TN,1976,3,71.38
TN,1976,4,71.54
TN,1977,1,74.89
TN,1977,2,77.61
TN,1977,3,78.17
TN,1977,4,79.61
TN,1978,1,84.6
TN,1978,2,83.47
TN,1978,3,86.93
TN,1978,4,90.73
TN,1979,1,90.68
TN,1979,2,91.8
TN,1979,3,96.61
TN,1979,4,96.27
TN,1980,1,100
TN,1980,2,100.19
TN,1980,3,99.36
TN,1980,4,100.05
TN,1981,1,96.4
TN,1981,2,106.37
TN,1981,3,108.33
TN,1981,4,97.41
TN,1982,1,105.9
TN,1982,2,98.76
TN,1982,3,105.65
TN,1982,4,103.58
TN,1983,1,110.22
TN,1983,2,110.55
TN,1983,3,112.14
TN,1983,4,113.69
TN,1984,1,110.08
TN,1984,2,116.19
TN,1984,3,109.39
TN,1984,4,118.87
TN,1985,1,120.92
TN,1985,2,121.77
TN,1985,3,124.11
TN,1985,4,125.62
TN,1986,1,128.33
TN,1986,2,130.32
TN,1986,3,132.51
TN,1986,4,134.46
TN,1987,1,137.93
TN,1987,2,140.4
TN,1987,3,140.7
TN,1987,4,142.59
TN,1988,1,143.79
TN,1988,2,144.55
TN,1988,3,144.54
TN,1988,4,144.15
TN,1989,1,145.14
TN,1989,2,146.09
TN,1989,3,146.72
TN,1989,4,146.81
TN,1990,1,147.3
TN,1990,2,147.08
TN,1990,3,146.89
TN,1990,4,146.41
TN,1991,1,147.69
TN,1991,2,148.38
TN,1991,3,148.74
TN,1991,4,151.15
TN,1992,1,152.45
TN,1992,2,152.03
TN,1992,3,155.38
TN,1992,4,155.19
TN,1993,1,155.82
TN,1993,2,158.03
TN,1993,3,160.11
TN,1993,4,161.74
TN,1994,1,163.47
TN,1994,2,165.68
TN,1994,3,168.23
TN,1994,4,169.46
TN,1995,1,171.91
TN,1995,2,175.21
TN,1995,3,177.78
TN,1995,4,180.37
TN,1996,1,183.22
TN,1996,2,184.9
TN,1996,3,187.03
TN,1996,4,188.62
TN,1997,1,191.11
TN,1997,2,192.78
TN,1997,3,195.22
TN,1997,4,197.91
TN,1998,1,201.42
TN,1998,2,202.88
TN,1998,3,205.37
TN,1998,4,207.72
TN,1999,1,209.68
TN,1999,2,210.2
TN,1999,3,211.49
TN,1999,4,212.32
TN,2000,1,214.17
TN,2000,2,215.36
TN,2000,3,217.5
TN,2000,4,219.44
TN,2001,1,224.92
TN,2001,2,226.06
TN,2001,3,227.48
TN,2001,4,230.18
TN,2002,1,231.24
TN,2002,2,231.65
TN,2002,3,235.04
TN,2002,4,237.12
TN,2003,1,238.69
TN,2003,2,240.71
TN,2003,3,242.27
TN,2003,4,244.92
TN,2004,1,246.91
TN,2004,2,249.71
TN,2004,3,253.25
TN,2004,4,256.33
TN,2005,1,259.82
TN,2005,2,265.55
TN,2005,3,270.91
TN,2005,4,275.25
TN,2006,1,279.77
TN,2006,2,285.16
TN,2006,3,288.81
TN,2006,4,294.13
TN,2007,1,296.91
TN,2007,2,300.5
TN,2007,3,300.83
TN,2007,4,302.94
TN,2008,1,304.21
TN,2008,2,303.08
TN,2008,3,298.54
TN,2008,4,299.85
TN,2009,1,302.43
TN,2009,2,299.37
TN,2009,3,292.46
TN,2009,4,289.64
TN,2010,1,286.88
TN,2010,2,285.53
TN,2010,3,289.66
TN,2010,4,287.57
TN,2011,1,280.74
TN,2011,2,277.14
TN,2011,3,280.28
TN,2011,4,281.04
TN,2012,1,278.63
TN,2012,2,277.44
TN,2012,3,280.52
TN,2012,4,281
TN,2013,1,281.23
TN,2013,2,283.8
TN,2013,3,284.51
TN,2013,4,286.08
TN,2014,1,287.56
TN,2014,2,293.45
TN,2014,3,296.02
TN,2014,4,300.09
TN,2015,1,302.7
TN,2015,2,306.35
TN,2015,3,311.73
TN,2015,4,314.5
TN,2016,1,318.61
TN,2016,2,324.56
TN,2016,3,330.51
TN,2016,4,334.94
TN,2017,1,338.85
TN,2017,2,347.37
TN,2017,3,354.27
TN,2017,4,358.91
TN,2018,1,364.4
TN,2018,2,372.48
TN,2018,3,378.07
TN,2018,4,381.76
TN,2019,1,385.94
TN,2019,2,393.51
TN,2019,3,399.18
TN,2019,4,404.14
TN,2020,1,410.07
TN,2020,2,414.62
TN,2020,3,423.49
TN,2020,4,433.66
TN,2021,1,446.21
TN,2021,2,473.93
TN,2021,3,505.96
TN,2021,4,532.26
TN,2022,1,559.7
TN,2022,2,604.15
TN,2022,3,623.41
TX,1975,1,55.61
TX,1975,2,58.57
TX,1975,3,56.12
TX,1975,4,59.31
TX,1976,1,58.65
TX,1976,2,63.54
TX,1976,3,63.3
TX,1976,4,63.11
TX,1977,1,65.95
TX,1977,2,71.51
TX,1977,3,69.31
TX,1977,4,73.38
TX,1978,1,76.63
TX,1978,2,78.89
TX,1978,3,81.33
TX,1978,4,85.46
TX,1979,1,89.48
TX,1979,2,92.73
TX,1979,3,95.16
TX,1979,4,96.97
TX,1980,1,100
TX,1980,2,104.44
TX,1980,3,103.91
